uuid,max_price,live_price,created_at
96dae81a-ea93-4d20-9fba-c273e72f7f08,17.05,36.29,2023-06-25 17:47:17
f9f23ac9-f458-473e-8839-a22c37a38cf8,6.59,30.99,2023-06-25 17:47:17
c9b87c5c-e88a-4eb6-83d1-126386254965,27.98,36.69,2023-06-25 17:47:17
a7bc1c1b-4a4f-4922-b3f9-b6267966cdcd,32.29,62.69,2023-06-25 17:47:17
22f8bd0d-fb59-4440-94c6-5fa92b6d718f,16.7,37.99,2023-06-25 17:47:17
f1a3d3bf-959e-4ee3-a6da-205f8b6558f9,5.31,14.39,2023-06-25 17:47:17
bf755432-c726-4472-bc5d-004a4d2ac665,11.42,34.39,2023-06-25 17:47:17
41e78254-30f3-4bff-8003-7c57777027cc,6.9,22.2,2023-06-25 17:47:17
fbff1b49-b4b1-42cd-b4c4-9ac6bd4139cd,10.45,73.89,2023-06-25 17:47:17
2a69f5eb-6185-45c7-96c0-63ed158ae1eb,18.12,24.39,2023-06-25 17:47:17
3a7ed2fd-a0ab-46e2-a498-fac8f9de7f81,16.04,21.89,2023-06-25 17:47:17
81514fa5-74d1-4e16-aed8-f7e0aa1e95f5,5.22,17.39,2023-06-25 17:47:17
5c11f099-ca0b-4321-b2d5-0f439e72595b,26.51,157.99,2023-06-25 17:47:18
5bbee2b2-5278-487b-9d35-aaa8e382cf3f,6.72,16.0,2023-06-25 17:47:18
e4efaa43-9220-4cae-88de-368f69b51e85,41.21,50.19,2023-06-25 17:47:18
88f4fca1-3afd-4e81-97ad-85d7fbaf52c1,8.52,40.59,2023-06-25 17:47:18
9690d2ff-76f5-4b3d-9870-6f8825a11efd,9.89,86.79,2023-06-25 17:47:18
97e9fe69-8a24-4f22-83d0-081e51af09a6,19.27,31.59,2023-06-25 17:47:18
81918a93-a2a5-4a7c-9f82-71131f3a0e4b,12.23,21.69,2023-06-25 17:47:18
d83bf7b4-256b-42e1-9a23-58b3ef4f0b62,10.5,21.0,2023-06-25 17:47:18
10d1c793-0e54-4a83-a4e5-ad494ee1ed24,12.99,34.69,2023-06-25 17:47:18
a532f764-8871-449c-abf6-adeec82b2442,30.65,40.49,2023-06-25 17:47:18
8fa7877a-c96d-4224-94da-5fd2f33230e0,12.19,16.49,2023-06-25 17:47:18
b40e498f-d47b-4dce-9cb8-4baa4966f235,2.62,19.6,2023-06-25 17:47:18
42e4cbd3-7bc6-4a40-9359-02285022fedc,19.33,53.79,2023-06-25 17:47:18
0ef6be12-62b9-4e36-8512-8bf3716df290,30.15,49.69,2023-06-25 17:47:18
af724681-16e2-45c4-90c2-65c1f00a6dee,52.05,52.39,2023-06-25 17:47:18
1e67422f-06c1-448b-becc-a7c10b65a30b,21.7,28.19,2023-06-25 17:47:18
508360ea-3f9d-4dc8-8952-06d81431881d,15.91,51.29,2023-06-25 17:47:18
eb6cac65-765f-4c6c-8a1a-03b531cf8fee,17.92,37.79,2023-06-25 17:47:18
56c7f713-92e4-433e-bfc8-7adef1975fd0,41.46,55.19,2023-06-25 17:47:18
441c3ec4-2c10-4fa9-8ee6-484ca000c4eb,15.28,23.99,2023-06-25 17:47:18
6b634c44-21de-4dec-8a54-5c284190e8f5,11.55,46.59,2023-06-25 17:47:18
12327175-6454-4d14-b757-ba9c849815d8,6.53,22.5,2023-06-25 17:47:18
d5ae8793-7dc2-4c85-9e8a-017aca3526ab,21.7,122.09,2023-06-25 17:47:18
23b1480f-e9cd-4cd1-b61a-44739610411a,44.8,74.09,2023-06-25 17:47:18
73175c25-5429-4d63-9e23-042bf37f4270,10.77,36.99,2023-06-25 17:47:18
e1abc28a-caae-442e-a9b4-70579281bee0,9.61,82.49,2023-06-25 17:47:18
7abe32cc-cbdd-4c8c-bae0-6f4dfe43caab,22.59,30.69,2023-06-25 17:47:18
0a0f1d6d-1a79-4a4c-ad4c-f84df38164e1,31.1,48.19,2023-06-25 17:47:18
99693330-0fe2-4b90-b22e-196621c4c497,14.01,45.59,2023-06-25 17:47:19
5d994e9d-d049-4c75-babe-4d16ff5e6317,3.54,6.5,2023-06-25 17:47:19
76c86e11-b271-45cb-8750-52f4c1484786,19.16,41.19,2023-06-25 17:47:19
554bfe38-4113-46b4-8c54-24bfd7e65899,12.43,22.39,2023-06-25 17:47:19
e8baa6a2-fc54-4261-9074-e6da4cb474ea,43.22,52.79,2023-06-25 17:47:19
671f284d-fe45-4a9a-9e17-a7ba8d7626d0,27.3,36.89,2023-06-25 17:47:19
7fbcf6d5-78d2-4acf-a8b4-4fb541ce389a,28.85,33.29,2023-06-25 17:47:19
13042d0c-e0ee-449d-9515-55d109af651a,33.51,85.79,2023-06-25 17:47:19
7e348bcd-cd20-43c0-83a1-da119c39cf34,4.31,13.0,2023-06-25 17:47:19
c2b9b536-1afc-42d3-8117-01241e643d0a,4.34,27.79,2023-06-25 17:47:19
c7a0d8e2-f0e4-4c8b-a44c-390b246a1e79,43.43,75.29,2023-06-25 17:47:19
57e2f3e1-4192-48e7-a5ec-bf803ba3eea7,9.87,28.79,2023-06-25 17:47:19
95018b0f-8d02-4655-b1b3-994963f8d7a2,15.36,99.29,2023-06-25 17:47:19
fc46a4e4-a864-40ca-a927-669c6a8de186,17.79,35.0,2023-06-25 17:47:19
7a420e6f-685f-466a-8715-1718db45cb27,55.94,131.69,2023-06-25 17:47:19
1f162bf2-ec1d-4945-8db2-76ebe2a66a13,0.79,32.69,2023-06-25 17:47:19
446f41e4-e5a9-42e4-9df4-e7d262b4efa5,28.94,34.69,2023-06-25 17:47:19
1996c054-409e-4ee0-8970-480c611aceb5,17.88,112.09,2023-06-25 17:47:19
cc55ad9f-2cf1-4330-80e4-6c15f22c1923,17.74,26.0,2023-06-25 17:47:19
b4599222-f9aa-4105-b2bd-9b7db6a29947,23.06,50.59,2023-06-25 17:47:19
3c031d63-41ec-4b14-92e3-dd134dfd6224,17.87,33.39,2023-06-25 17:47:19
c4e475e3-e777-42ed-b966-d5d6958f0ed2,12.99,66.99,2023-06-25 17:47:19
e2e838d6-fde6-4c5c-87d8-bc1d15e7c415,2.75,4.8,2023-06-25 17:47:19
abc4cfad-3679-4083-b388-25b1a39831e4,7.82,22.99,2023-06-25 17:47:19
c9da9d59-4671-4762-80e4-b3eaf15890f2,0.97,18.7,2023-06-25 17:47:19
76b66489-072c-47fb-ac84-31cafbfa0b80,1.01,4.4,2023-06-25 17:47:19
623b59e5-34e6-4187-b60b-378350bff0ca,22.89,69.79,2023-06-25 17:47:19
6a638054-5bf7-48b1-b70c-ffb0a932103b,6.57,25.39,2023-06-25 17:47:19
ef741213-103f-4980-8f73-3c028edadb3e,5.93,13.0,2023-06-25 17:47:19
24e0fa7f-a099-46cb-9826-7df100ecacfc,36.92,53.59,2023-06-25 17:47:20
bf060f12-0e4c-4e0c-9b06-48c233320021,15.5,24.49,2023-06-25 17:47:20
cae6da2d-fbb7-4ee6-a075-20615dcb89b2,11.66,102.79,2023-06-25 17:47:20
cc66c066-2fe1-40d6-a698-3155157f07f7,1.56,23.5,2023-06-25 17:47:20
cd381a70-97b5-4754-8234-4055cb60457b,25.29,46.09,2023-06-25 17:47:20
ba7328fb-93e3-457b-bc2f-20ce0e16f0d5,34.39,49.39,2023-06-25 17:47:20
922e6ca6-08dc-47f3-a2e2-a2f4b395cd89,5.1,37.09,2023-06-25 17:47:20
573fdeea-6ac6-4804-8959-6e4410f5134a,0.19,41.39,2023-06-25 17:47:20
d99357fd-fcee-45e1-b22a-609e9ccbe688,13.12,41.0,2023-06-25 17:47:20
709e130b-c30f-4ed4-8b78-f28a3308d329,25.09,37.89,2023-06-25 17:47:20
d93601ac-1254-492b-aeff-fab464fc1f0b,14.26,26.79,2023-06-25 17:47:20
e9279fb0-979b-4f64-9077-4fbb9adeb02c,13.78,28.9,2023-06-25 17:47:20
c5130c65-5930-468f-9276-899ec09e915c,6.64,118.19,2023-06-25 17:47:20
f830b6fc-5cd5-40d6-be20-8f71b5b6b58a,20.71,47.59,2023-06-25 17:47:20
05644bd8-e0e3-4aa1-9d4f-9b6dfe0bfc5b,2.8,62.09,2023-06-25 17:47:20
09b07dd1-aa20-4459-a5ff-16ffc874bf62,53.57,80.79,2023-06-25 17:47:20
b27e7e10-65d7-4194-bfad-ad66196faa78,5.15,24.29,2023-06-25 17:47:20
13f5a797-6092-4a93-8ff1-382738c4c846,44.64,49.59,2023-06-25 17:47:20
8c3c36b1-084b-4bf5-bc96-044a00fd5e08,8.02,40.59,2023-06-25 17:47:20
3bc0d237-33ce-4f41-939c-f422c9554d18,13.84,22.29,2023-06-25 17:47:20
59821473-8bf8-415f-b298-1620255a5ccd,18.63,42.59,2023-06-25 17:47:20
5fc001fb-db74-437b-a111-8827d11c15e8,22.95,32.29,2023-06-25 17:47:20
482d4e01-229e-49ea-b257-4270cfa82bf2,8.88,37.49,2023-06-25 17:47:20
eb21756c-2ee4-49d4-858b-978b521f99fb,32.16,59.39,2023-06-25 17:47:20
19d4d0c6-0656-4d3f-a11c-5964a02f2ecd,27.05,38.69,2023-06-25 17:47:20
1abd68cb-304c-4e00-9c19-fd2f1e4cb394,15.5,30.9,2023-06-25 17:47:20
119a1db3-d137-4d56-bad6-9dec1853b738,9.46,13.0,2023-06-25 17:47:20
5dab9b66-160b-453f-8ab8-12ecb3ea5575,28.71,40.09,2023-06-25 17:47:20
352919ad-fdf9-4fab-8bfa-fa9ada3c3c5d,38.62,41.49,2023-06-25 17:47:20
993ca378-cb5f-4d41-866c-2d24908c9cf1,17.99,42.59,2023-06-25 17:47:20
c09fb580-22a6-4d54-94c9-d70cce03b891,21.22,29.7,2023-06-25 17:47:20
a487f66a-e329-4951-b4d7-dcdf939014c9,1.25,26.4,2023-06-25 17:47:20
7d37d7a6-5793-49a8-aac3-b64ae0311979,9.91,34.59,2023-06-25 17:47:20
e01c34b5-7450-46fb-9ee3-3d9135a8e218,11.35,28.59,2023-06-25 17:47:21
06ec4f87-9059-4c79-82bb-f6c971ef2914,24.76,110.79,2023-06-25 17:47:21
33e8d049-2de8-4dc3-9f34-ef50853be1e7,33.44,33.69,2023-06-25 17:47:21
f8a1afd8-2ea3-41c4-9936-ffa29dbe33bc,25.19,36.69,2023-06-25 17:47:21
bfca43f1-ed31-44c4-9784-ed2d443c6722,14.79,19.89,2023-06-25 17:47:21
5e310f98-6699-4200-bb6c-53901dbeb59d,25.96,29.49,2023-06-25 17:47:21
ab02d5b6-700f-4185-85d5-91bbbb4182db,29.11,40.19,2023-06-25 17:47:21
0d2bb603-66fd-4b02-90b3-dcf164ac647d,8.85,36.99,2023-06-25 17:47:21
a87780b7-25a8-4461-b0a3-0c7fb9dc5966,14.45,47.9,2023-06-25 17:47:21
fe0825aa-87dd-4a17-b767-36082fd38b93,20.73,88.29,2023-06-25 17:47:21
e0edcd09-a35e-4205-be67-d1b06933f47a,59.38,60.49,2023-06-25 17:47:21
50d27e59-6b63-41f0-adcc-54526bb22e7f,35.07,37.09,2023-06-25 17:47:21
b41d490d-cc8c-46f6-84a8-5be78032030b,15.54,152.39,2023-06-25 17:47:21
9312c40b-7faf-4323-8362-b9a4a43f3de2,9.73,44.09,2023-06-25 17:47:21
235a7f0c-0941-442c-ad5a-31ea89ac47a7,20.77,31.59,2023-06-25 17:47:21
93b06b24-f908-47ba-8fde-94af0c445aae,23.35,37.49,2023-06-25 17:47:21
f1292c87-a5a6-4f40-a8bf-74136cff6706,11.32,82.09,2023-06-25 17:47:21
51f9fb0a-98d0-4984-a7f4-b4086eb75545,14.58,49.39,2023-06-25 17:47:21
7f6a68c2-b19d-4b87-8400-d20a4c14f68a,28.21,53.09,2023-06-25 17:47:21
9eb9701a-c7bf-4a7f-b20b-5b9631fc1c1a,24.91,78.29,2023-06-25 17:47:21
32a50698-4567-4fc4-9366-35391c14f55c,3.13,51.09,2023-06-25 17:47:21
3444231c-07d2-42f3-93a4-b42cec795cae,39.14,44.59,2023-06-25 17:47:21
02052e77-3c27-46e8-84a3-d874dec0a6d7,25.51,34.99,2023-06-25 17:47:21
98fe42d6-20f5-4ded-8b5b-948db1f8a055,6.92,7.7,2023-06-25 17:47:21
50777e4f-f7a7-4e4e-9d67-86196486a879,16.24,33.59,2023-06-25 17:47:21
babcf118-3ab5-458b-8d2b-a8d815952359,2.54,43.29,2023-06-25 17:47:22
75d75ddc-c77d-4bd0-9f32-3db5d1fb1761,38.76,59.19,2023-06-25 17:47:22
8c801861-f884-4049-a63b-b46bd8d454dc,12.83,20.7,2023-06-25 17:47:22
d8275eeb-47ec-4355-9603-dd21e5642b2c,43.77,48.29,2023-06-25 17:47:22
afb0a209-ada9-4b95-a78f-fb52ad8e03e4,21.08,25.89,2023-06-25 17:47:22
