uuid,max_price
b55db23b-6f4c-42eb-b959-c60eaecdc606,52.66
59cdcc0f-194b-42b2-b459-188dc7611c4f,18.14
8cc9d834-27c9-472b-848d-3d60349a2479,52.06
48facc78-63a1-45f4-8976-f14a39851b75,9.34
f2c96b31-1aa3-470d-aa50-3af7f2495839,5.53
abcbc574-52dc-4c2a-9940-857a39098eff,19.32
620f75f3-9785-46c3-ad8f-b13fa6cda53b,11.45
7c28c7a8-9d0e-4efa-9959-411831901c99,12.92
4d49f680-56d0-4b7c-b7b0-30a8130aefca,56.12
f1b8606a-f6f7-4dcc-8215-25f75fdf1843,30.41
e4638cc8-8389-49cf-9759-f454585e5869,48.96
f7aa9f33-7c87-4957-8cdf-d6b222a1f8ae,57.06
426f5f38-6aee-401a-a4f9-4ab41c08e313,9.31
ced840f7-f049-4b05-baf3-82d46a1f2251,35.15
e483bea3-7314-4de8-8a83-14da44b51843,3.33
54cb6a8c-b721-4dfc-a718-0462ca6a4737,57.94
dc0001af-f528-44c5-8113-f321644a6ed7,51.06
293d1e54-5d22-4a54-a1df-4d7f0b1d0415,26.48
5502ddcb-ed3e-4a56-9724-c63338594c9c,54.17
170afdbc-57fb-4005-adc8-9ae546d78c2a,27.46
53009b9e-98eb-4d21-bac7-f27ba496a003,11.62
44e1b566-df16-47b7-8e15-a1a0a63b8aab,59.7
7b854f68-b9ce-4a56-b245-33a20100d920,19.55
cbb3529e-f811-4cd7-b484-dd054a479cd2,47.54
d80857d5-6f18-47f3-8877-13434f3c4f5d,28.16
42e82593-8a20-4068-9267-b8a9b42eb622,16.8
f820115f-75f8-4523-bff5-0db97113d0ab,38.85
0fe65433-8dfd-4a4e-8634-3d84f7fcf305,57.08
e31b2862-fb34-4c9f-9c10-c0dd4307de79,5.66
f062fbaa-4acd-4d45-806a-87fe217ed091,55.48
84258af6-3d57-44a3-9c3a-5c783dc3539b,45.41
5629bc1e-56db-418b-8f4c-5f330e386c8f,18.02
cf7d7495-8324-43e7-957b-4dc6aa48f401,21.28
36c3cf09-944c-47f5-8b51-4243bd1068a3,51.47
3b944bd1-c8af-41b2-8fb6-87f22ff85b5b,32.55
00a59bea-7c3f-425e-9c2d-c535fe1faa93,13.25
96dae81a-ea93-4d20-9fba-c273e72f7f08,17.05
f9f23ac9-f458-473e-8839-a22c37a38cf8,6.59
467de37c-b5a2-4593-8416-a028325254e0,59.02
3a9853e6-e1a6-473e-a464-54ec9a6bf3ef,8.86
c9b87c5c-e88a-4eb6-83d1-126386254965,27.98
567ba383-f21b-47dc-8168-69d0f83de390,49.75
1f8cc341-f573-43f0-906d-b239de8c58fa,4.89
17d17eac-6ff7-41fd-9e66-540b6881f266,45.04
a7bc1c1b-4a4f-4922-b3f9-b6267966cdcd,32.29
dd5e90a3-742d-4137-bb23-c50feba02d14,20.52
a4a107c1-94a0-48fe-8e98-16e3e263a5db,13.97
c14078c1-9162-4ff3-a477-f73f756b1d18,12.57
e283b711-741e-49bf-905b-331931e5a664,51.8
300a0755-25e1-4898-869e-1c3ff7af037b,40.99
3dcb99e0-5d8d-42e8-bfdf-b492cb5dcd2b,37.84
22f8bd0d-fb59-4440-94c6-5fa92b6d718f,16.7
6b338cc4-19b8-4d8e-bda8-ef5be1e27cd6,11.22
be9ab5c8-cd29-483b-ae05-545455789e90,53.39
d0999a88-8ee0-4141-9069-32cd816a3009,16.6
7d8b13a8-43c4-4fa7-828d-a243a5a7ca41,33.91
844813ec-04d2-4bd4-835a-9c9a135bb192,16.53
f1a3d3bf-959e-4ee3-a6da-205f8b6558f9,5.31
c34fc26a-0e29-4337-98ac-3d4bc21f27b5,32.87
90b1ae94-70ee-4736-93f3-4880bd20c5c6,37.89
030c5d3a-e557-410b-92a2-8430efc1f41b,39.46
622d279b-0cf6-475d-8a49-100519369b15,3.54
3d76b261-14fc-4b54-bdc1-ae0316b89b33,36.45
54940d24-6fd5-4ed1-96ae-ab38f424985c,25.14
585c2a2a-81be-4a30-847d-9b406296c0f5,9.63
bc62b64f-b6fc-4c8e-8164-663266d911b4,48.9
e43aca03-01e0-4a0c-83db-e3310d84ccf6,24.51
d7e488cf-3bd2-4a4e-936d-2284f52a148e,2.95
bf99ccd4-d8b6-4005-9df4-0bd13a452f63,19.64
a2e311ee-116b-4d02-9542-362a45ff466f,8.21
68790a15-33a1-404b-a552-27311be7651c,41.33
bf755432-c726-4472-bc5d-004a4d2ac665,11.42
dfd5dd72-4e95-4e09-8890-7c05c896116a,3.7
04577850-a283-4592-a9d6-8adfe6351a27,8.1
7cb01cfb-e91a-4b5b-a1a0-83f4ec63c05a,48.21
316a77a5-1817-4c76-a099-496427114301,45.08
1c7dbcf1-d9b6-42d7-8896-aab500760c88,1.87
41e78254-30f3-4bff-8003-7c57777027cc,6.9
dd014f7a-c1d5-47e0-b02e-cebe7056d541,20.97
4c482181-49c2-4602-9cd1-fd152552660e,56.66
55b2b4a2-f45c-48a3-8969-b707ed7f940b,48.79
22bea43a-318d-4189-a9f2-0a501358883f,17.33
e89b200d-466e-49bd-afd9-9500801c74b5,45.93
2f03c725-9d29-4564-be0d-2bbbd7f768fe,3.04
75d6191e-ea80-450c-b1dc-60f9cf0005be,12.4
0b7934a9-f916-44bf-808b-ba2294b300a0,47.7
6f64fd1b-3fea-4225-8356-d142e5b44d74,58.44
8f72446b-ee65-4e12-a0c3-831cfe17c1da,46.83
dc418e2f-e9d3-4c28-a74c-35894b39ab9f,58.28
c9b49729-2770-4174-8434-2fe916e25d0c,43.51
ef7fc693-1c26-4fea-93d9-75aa01c064bb,54.77
8e49a736-004c-45e0-a969-262d90ccb739,11.59
9d19b89d-4517-4e24-83de-bed60c723acb,16.76
fbff1b49-b4b1-42cd-b4c4-9ac6bd4139cd,10.45
c88f57da-5016-4402-ba8e-65ebd0bbf841,13.53
2f3f1bfe-ba39-4183-bd84-4520a61105e4,21.03
8211662d-c410-48de-81ff-4bb718e71626,16.85
3a07f225-4d9d-4c6f-bb6f-6714039069ef,45.84
75e1606a-176c-42ad-8800-2d360b8cf331,30.19
860cfaa5-96c6-4c66-ba1a-198f2707f59e,41.45
7d38b881-d43f-449f-93d3-47b99de3567f,16.31
1ca251d2-e93c-4fb0-983d-699ac90089cc,54.1
dd50d513-6a18-41ac-b1ed-233b680a182c,59.3
2ec78fc9-e71e-45e0-b281-ecb26a34cea4,40.87
2a69f5eb-6185-45c7-96c0-63ed158ae1eb,18.12
fb83a8f2-e56f-412b-8368-1c4b3c1094b1,44.82
16271f82-20e1-4dee-9560-ac96ef619778,38.94
148006ad-22f1-4611-b87b-780882b0cf44,26.34
fafd40c6-54ac-4cc9-b39b-f7a8a5e785f7,5.11
c8a9aec0-2ad6-454e-8263-948546f9930a,31.06
43a553a5-d1f6-421e-958d-6dba8cef3871,23.06
3a7ed2fd-a0ab-46e2-a498-fac8f9de7f81,16.04
c8e1b5a9-4d7e-4e9a-903a-8ceafd46fc87,2.2
e602b0e7-e1d6-4636-93c6-c895192aa53a,39.93
77cf0a1d-f065-4f70-b445-dca98a052853,59.46
e732079a-de40-406c-9fea-cc376554daa9,35.34
87366ad7-65c1-481e-a470-56b2504fc75e,58.54
1307a06b-2c48-41fc-8022-ddced1332b01,37.38
d1a2b16e-1c26-4446-a313-d62e1a48a9f9,10.52
f1cead09-365b-42cc-bac2-ba77ab61facd,38.72
e4af712f-9423-48eb-9ee9-b0f94fab94a9,40.78
97a7bd3d-f646-4646-8562-659e9717c8b5,32.9
955c5981-8944-47e8-8334-45dbfb3cbaa5,50.93
bcf49d51-1461-4ba4-b13b-9259104184af,56
af58b15b-5556-46d3-8c8a-50b8472a9fa2,31.72
b881ad06-827e-439b-baf6-160ea2131a90,40.85
d9978c20-673b-43f0-8730-b26d8f058af3,55.37
81514fa5-74d1-4e16-aed8-f7e0aa1e95f5,5.22
5c11f099-ca0b-4321-b2d5-0f439e72595b,26.51
6a750a38-c5f2-46ef-b2bb-e842508318b0,29.63
7e3c9f8c-c2f4-403f-b81c-6da5ccf5604d,39.14
b80bc065-1ea9-41a4-81e7-a5ddc04708c5,23.56
9a1e2422-6143-49a2-bc9a-0b98060c5c6f,13.99
55f0e8af-1834-4e06-bcb4-31c20a6389d7,25.81
5bbee2b2-5278-487b-9d35-aaa8e382cf3f,6.72
946f15a9-5706-4942-8268-7549ec6de235,33.81
2fe80abd-a6ad-4723-b296-6f5f1430d8ef,39.71
741a6cba-b0f1-4401-a204-4cce377575c1,5.94
dd379d57-9f79-4ff7-835a-25935902bd0a,47.46
d3fd5089-2859-43d8-b106-899e540b6888,37.6
c2607c27-2154-45e8-ba08-0c528f000e7a,7.09
ceddace6-3f4a-4b4d-b3e9-7f4aff93b983,4.3
c083be9f-e941-42af-9184-62d8568d31ff,17.02
c43e6c65-e1db-4965-9fa5-5174b49d82dc,23.98
12d6a798-0726-475c-a02e-fa502aa8ea4c,34.06
c5374013-c8d8-45c8-ba0d-5a2a6e08c3f8,13.03
866ec7f3-8970-4865-952f-6106a023d875,11.88
05ab3ff3-0e3c-4d9f-9c8f-b9d0fdac801c,20.59
dfd0790e-312f-484a-b61b-9cbd889044b6,17.99
a2bacbf2-fc3e-4406-a44a-831a1cb9b237,56.81
7468b354-8ea9-4954-a880-8fd061c6ae7c,32.73
43d997ed-d8b8-4062-b71b-a265b04d537d,27.99
